conferenceID,conferenceName,issn,url
a1f49942-86d6-44ea-a4bc-5b518a02c5aa,Revista Ecuatoriana de Arbitraje,2600-5611,
d19b1d9c-b907-4cd2-a45d-cd5a1106c43f,Schulkulturen in Migrationsgesellschaften,2512-143X,
02e90e4c-127d-41fb-ab04-65b69469cb6e,Cardio News,1437-1073,http://app.cardionews.de/ePaper/
39bce278-45d1-4512-bf38-89a65cbe5d39,Acta Universitatis Carolinae: Philologica,0567-8269,https://www.ceeol.com/search/journal-detail?id=336
eb735408-e2df-44c3-bd4e-637e71f839dc,Journal for Christian Scholarship = Tydskrif vir Christelike Wetenskap,1013-1116,
2d07e232-3c68-414b-8847-11d5bac47356,Consequences. The nature and implications of environmental change,0310-8228,http://www.gcrio.org/CONSEQUENCES/index.htm
8611de2d-0d41-4581-9024-2e160c44016f,Sociolinguistics in African Contexts,2213-3208,
e83e55ad-f530-4685-9041-f4c4020f7a9b,Cahiers de Géographie du Québec,0007-9766,http://www.cgq.ulaval.ca/
30cde353-ae23-4637-bf6a-cd57efb50ab6,Drake law review,0012-5938,
7fb4b106-3313-4a90-b54a-848bcd62f1a6,International Conference on Digital Signal Processing,1546-1874,http://www.dspconferences.org/
6e0f5c60-8dcd-4655-af4a-d5e81cbecfc2,Energy Statistics Yearbook (Ser. J),0256-6400,
f9104fb0-ce64-4719-a820-0b391342a3be,Handbook of the Geometry of Banach Spaces,1874-5849,http://www.sciencedirect.com/science/handbooks/18745849
c884b267-162e-4c75-916e-f7b80bf543f9,International Conference on Biometrics,,http://www.wikicfp.com/cfp/program?id=1292
a3d20f85-7848-496e-b783-7a136047c8a4,Journal of Psychiatric Administration and Management,2163-3878,
fc00e72c-1feb-459d-9d6a-4729dbdb698a,Deutsche Zeitschrift für Philosophie. Sonderband,1617-3325,
c8011475-39da-41d6-ad0d-18400d872ec0,Stavanger Museums årbok,0333-0656,
ded7c8e8-0c09-4d32-8178-9cea68ed3521,Perspectives in Healthcare Risk Management,0899-1073,http://onlinelibrary.wiley.com/journal/10.1002/(ISSN)2040-0861/issues
4d9b5f1b-f58a-43bc-99ab-825cf78db5ed,LACUS forum,0195-377X,http://www.lacus.org/volumes/
bd02feaa-7fc9-4203-832d-eb5547aa91b6,Nuberos científica,2173-822X,http://nc.enfermeriacantabria.com/index.php/nc/index
ea4de8f8-084e-4a0d-bf9b-3c1ea83a391a,Springer International Handbooks of Education,2197-1951,https://www.springer.com/series/6189
edac2ede-ec9e-4bf1-899d-9f4bff1967af,Ascagen. Revista de la Asociación Cántabra de Genealogía,1989-5267,http://ascagen.es/
94351e08-c32e-455c-ba6b-4df6cb877d20,International Mediterranean Conference on Communications and Networking,,https://ieeexplore.ieee.org/xpl/conhome/1844324/all-proceedings
c8362e9c-3244-4d4b-abff-5101089c7011,Prace naukowe. Pedagogika,0860-0880,http://czashum.hist.pl/czasopismo/341/
221622b8-d0e6-4b85-9dbc-60d605af3434,Breast Cancer Reports,2057-1631,http://www.hoajonline.com/breastcancer
