corpusid,openaccessinfo,abstract,updated
140264894,"{'externalids': {'MAG': '2930887831', 'ACL': None, 'DOI': None, 'PubMedCentral': None, 'ArXiv': None}, 'license': None, 'url': None, 'status': None}","A multicasting delivery system and a multicasting delivery method are provided to solve a problem that because scheduling for participating in a multicast group is not considered, a standby time required for changing a program is not sufficiently shortened. Delivery servers(50) multicast-deliver contents via at least one upper router(20A) and a plurality of lower routers(20B). A plurality of client devices(60) reproduce the contents multicast-delivered from the delivery servers. Upper router controllers(30) control the upper routers. A plurality of lower router controllers(40) control the plurality of lower routers. Each client device includes a reproduction history memory unit for storing reproduction history information of contents, an individual contents identifier memory unit for storing identifiers of at least some of contents to be delivered by the delivery servers and session information regarding the multicast delivery of the contents by associating them, a contents acquiring unit for acquiring contents from the delivery server, and a contents reproducing unit for reproducing the acquired contents.",2022-02-09T09:09:20.505Z
140029052,"{'externalids': {'MAG': '2768175703', 'ACL': None, 'DOI': None, 'PubMedCentral': None, 'ArXiv': None}, 'license': None, 'url': None, 'status': None}","Ⅲ- nitride semiconductor light emitting device according to the invention is formed of the conventional P-AlInGaN layer on the first layer N or P-type silicon carbide (SiC) layer or a silicon carbon nitride (SiCN) layer or carbon nitride (CN) layer and, it characterized in that the first growing a When growing the first layer and the second layer according to the method presented in this invention over prior art P-AlInGaN layer a second layer film is the first layer film and the different material characteristics because the second layer thin film is tens of microns at 100 ongseu Strong to stick together to a size shows the properties of forming the island-like. This uneven surface of the second layer is formed can be improved by the light confinement phenomenon inside conventional light-emitting device increase the external quantum efficiency of the light emitting device. The light emitting device manufactured in accordance with the invention has the advantage that as compared with the conventional light emitting device can improve external quantum efficiency (External Quantum Efficiency).",2022-02-09T09:17:02.581Z
136134325,"{'externalids': {'MAG': '2745182628', 'ACL': None, 'DOI': None, 'PubMedCentral': None, 'ArXiv': None}, 'license': None, 'url': None, 'status': None}","The invention provides a friction material composition for preparing a brake pad. The composition contains binding agent, reinforced materials, friction increase agent, lubricating agent and filler, wherein the binding agent contains the binary modified phenolic resin of cashew nut shell oil and chemigum. The invention also provides a friction material for preparing the brake pad. The friction material is obtained in such a way that the friction material composition carries out heat treatment after being molded by hot press, wherein the friction material composition is provided by the invention. The friction material composition for preparing the brake pad can obviously improve the stability of the friction coefficient of the friction material.",2022-02-09T11:17:04.241Z
135934282,"{'externalids': {'MAG': '2562500687', 'ACL': None, 'DOI': None, 'PubMedCentral': None, 'ArXiv': None}, 'license': None, 'url': None, 'status': None}","The butter paste development with red beet powder based on the butter with the addition of skimmed milk powder. Dairy base of the butter paste is includes the complex of plant food additives such as flaxseed, inulin and red beet powder. It was established that should give preference to the use of red beet criopowder for increasing mineral composition of the butter paste. Selected plant additives are increasing the mineral content in the finished product, the most the content of iron, potassium, calcium, chlorine. The content of toxic elements such as lead, cadmium, arsenic, mercury and zinc in the finished butter paste were not found, and the content of copper and iron in the normal range.",2022-02-09T11:24:23.933Z
135948857,"{'externalids': {'MAG': '199735943', 'ACL': None, 'DOI': None, 'PubMedCentral': None, 'ArXiv': None}, 'license': None, 'url': None, 'status': None}",Oxide-dispersed strengthened (ODS) - tungsten based composites can be fabricated using several methods. In this study W-Y2O3 composite powders were synthesized by an innovative chemical process yie ...,2022-02-09T11:24:14.367Z
134842707,"{'externalids': {'MAG': '2924545963', 'ACL': None, 'DOI': None, 'PubMedCentral': None, 'ArXiv': None}, 'license': None, 'url': None, 'status': None}","A ship with an air propeller for propelling and hovering a ship body comprises the ship body and an air propeller power device installed on a deck of the ship body. A flow collecting nest is arranged right behind the air propeller power device. The side, facing the air propeller in the air propeller power device, of the flow collecting nest is open, and the opening area of the flow collecting nest overlaps the rotation diameter internal area of the air propeller in the air propeller power device. The part, below the deck, of the ship body is provided with a sealed flow guide air passage, the bottom of the ship body is provided with a hovering channel, the bottom and the tail of the hovering channel are open, and the tail opening of the hovering channel is provided with a movable door capable of being opened and closed. An air outlet of the flow collecting nest communicates with the flow guide air passage, the communicating positions of the air outlet of the flow collecting nest and the flow guide air passage are connected in a sealed mode, and the flow guide air passage is provided with an air outlet hole communicating with the hovering channel. According to the ship with the air propeller for propelling and hovering the ship body, the functions of propelling and hovering can be achieved by means of the air propeller, development of small hovercraft is facilitated, and the amphibious applicability of the ship is improved by adjusting the hovering function.",2022-02-09T11:59:05.373Z
127864370,"{'externalids': {'MAG': '219069933', 'ACL': None, 'DOI': None, 'PubMedCentral': None, 'ArXiv': None}, 'license': None, 'url': None, 'status': None}","Designed to initiate a long-term program to protect natural forest resources, improve their management, and introduce stable and sustainable rural development on a national scale, the project will have a globally positive impact on the natural environment as well as on local communities. It will contribute to mainntaining the prevailing climatic conditions of the two regions concerned, particularly by limiting the southward progress of savanization in Guinee Forestiere. The conservation and reconstitution of forest cover will help protect the soil from erosion, reducing sediment build-up in the rivers, and maintaining the functioning of the fundamental ecosystem and the level of biodiversity. The conservation of existing forests, the reconstitution of depleted forest areas and the adoption of agroforestry will increase carbon sequestration. The improvement of fallow fertility and the consequent reduction in rates of slash and burn together with enhanced use of improved kilns and stoves will reduce production of greenhouse gases. Because of the limited areas involved and the continuation of some charcoal production there will not be a significant carbon sequestration impact at the regional level. Nonetheless, these actions will contribute to the search for solutions to this global problem.",2022-02-09T15:47:07.906Z
130189313,"{'externalids': {'MAG': '2380320377', 'ACL': None, 'DOI': None, 'PubMedCentral': None, 'ArXiv': None}, 'license': None, 'url': None, 'status': None}","There are more than 30 surveying and mapping journals in China at present.However,there are very few papers that deeply research and assess these journals.Therefore,according to the status quo of this field,and retrieval circumstance of national three main journal retrieval organizations,based on every citation data of surveying and mapping journal in ""China academic journal integrated citation report""(2008 editions) of CNKI,as well as SCI main indexes,an assessment of influence and overall level of each surveying and mapping journal is analyzed thoroughly in this paper.",2022-02-09T14:21:18.773Z
129445182,"{'externalids': {'MAG': '1500269897', 'ACL': None, 'DOI': None, 'PubMedCentral': None, 'ArXiv': None}, 'license': None, 'url': None, 'status': None}",.................................................................................................................4 Table of,2022-02-09T14:46:19.671Z
128593790,"{'externalids': {'MAG': '1938368804', 'ACL': None, 'DOI': None, 'PubMedCentral': None, 'ArXiv': None}, 'license': None, 'url': None, 'status': None}","The purpose of this study is to estimate major determinants of willingness-to-visit(WTV) to the 2012 Yeosu Expo using a logit model. On-site surveys were conducted for 2,500 respondents across 16 metropolises and provinces based on quota sampling method. The results of logit model indicate that variables of travel time, population, number of owned cars, and age were found to be important determinants of WTV to the Yeosu Expo, supporting the previous studies. Two variables of population and number of owned cars appeared to be positively related to the WTV, whereas two variables of travel time and age were found negatively related to the WTV. The results suggest that travel time between origin and destination is the most important variable as an deterrent to travel.",2022-02-09T15:32:05.282Z
89935851,"{'externalids': {'MAG': '2795429924', 'ACL': None, 'DOI': None, 'PubMedCentral': None, 'ArXiv': None}, 'license': None, 'url': None, 'status': None}","Introduction Collagen is the predominant component of extracellular matrix in various connective tissues and makes up to 25% to 35% of the whole protein content in animal bodies. Type II collagen was first introduced from chicken sternal cartilage and presents supportive function in cartilaginous tissue. Since type II collagen is the major component of cartilage in joint, this study is aiming to determine an optimal type II collagen material for the development of medical devices for articular cartilage regeneration. In order to make more effective use of underutilized food waste, type II collagens from mammalian tissue sources (porcine tracheal cartilage; auricular cartilage; articular cartilage) and marine tissue sources (cuckoo ray, blonde ray, thorn back ray, lesser spotted dogfish) were isolated through acid-pepsin digestion under 4°C and characterized by various biological, biochemical and biophysical analysis. Pepsin cleaves the telopeptide region of the collagen molecule and pepsin treated collage...",2022-02-10T19:15:59.612Z
88332176,"{'externalids': {'MAG': '2362868052', 'ACL': None, 'DOI': None, 'PubMedCentral': None, 'ArXiv': None}, 'license': None, 'url': None, 'status': None}","Objective To investigate the effect of Chinese herb feed additive on layer production and egg quality.Methods Six hundred pre-natal 100-day Roman layers were divided into 5 groups randomly.In four experimental groups,in group A and B,0.25% and 0.5% Chinese herb ultrafine powder were added into diet respectively.In group C and D,0.25% and 0.5% Chinese herb cribble were added into diet respectively.Group E was control group.Chinese herb feed additive were used in experimental groups for continuously 5 days,then stopped for 3 days.That was a cycle,which was repeated 5 times.Egg quantity and quality were measured periodically.Results Results shown that laying rate in group A and B were significantly higher than that in group C and D(P0.05),and maintained above 90% in the whole experimental stage after egg laying crest-time,while laying rate in group C,D and E decreased to less than 90%.Adding different doses of Chinese herb feed additive had no effect on quality of shell thickness,egg-shaped index.Albumen in experimental groups were different significantly with those of control during anaphase.Conclusion Adding Chinese herb feed additive 0.25-0.5% fine powder to layers'diet may improve laying rate and egg quality significantly.",2022-02-10T20:41:33.149Z
94287552,"{'externalids': {'MAG': '1533057218', 'ACL': None, 'DOI': None, 'PubMedCentral': None, 'ArXiv': None}, 'license': None, 'url': None, 'status': None}","Abstract : Plasticizers have been incorporated into RDX ethylene-vinyl acetate (EVA) compositions prepared by the solvent slurry coating technique. The effect of plasticizers on impact sensitiveness, shock sensitivity, cookoff behavior and integrity of pressed pellets has been examined for compositions with EVA binders of varying vinyl acetate content. A compatible EVA plasticizer combination gave an appreciable reduction in cookoff response and impact sensitiveness. Plasticizer migration is likely to affect the long-term stability of these compositions.",2022-02-10T16:26:21.412Z
135453284,"{'externalids': {'MAG': '68574838', 'ACL': None, 'DOI': None, 'PubMedCentral': None, 'ArXiv': None}, 'license': None, 'url': None, 'status': None}","Noble metal nanoparticles exhibit a unique optical property known as localized surface plasmon resonance (LSPR), which occurs when interacting light couples to the collective oscillations of the surface electrons. This work investigates the use of various nanoparticles for biosensing based on LSPR. 
 
Triangular silver nanoplates (TSNPs), synthesized using two different methods, and their derivatives, gold-coated TSNPs (AuTSNPs), were investigated for use in refractive index sensitivity-based solution assays. Refractive index sensitivities of these nanoplates were determined and benchmarked against the theoretical calculation predicted by Miller et al.. The first generation TSNPs and AuTSNPs were used for the detection of human C-reactive protein (CRP) and cardiac troponin I (cTnI) and the second generation AuTSNPs were used for the detection of human CRP. In order to address the complex assay design, a simpler aggregation-based assay for the detection of human IgG was implemented using spherical gold nanoparticles. Furthermore, a preliminary study on incorporating the AuTSNPs into a surface plasmon resonance (SPR) sensor was carried out to explore the enhancement effect of the nanoplates on SPR detection. 
 
Nobel metal nanoparticles are found to enhance fluorescence-based biosensing due to a phenomenon known as metal-enhanced fluorescence (MEF) when the nanoparticles are in the vicinity of fluorophores. In this work, the enhancement effects of the AuTSNPs and spherical silver nanoparticles (AgNPs) on the fluorescence were evaluated. A significant enhancement was observed for AgNPs whereas no enhancement was observed for AuTSNPs. Further MEF studies were conducted using various dyes and gold-coated AgNPs. AgNPs were used for enhancing the fluorescence-based assays for human IgG and CRP detection. The limits of detection (LODs) of the IgG and CRP assays were improved by ~ 9-fold and ~ 19-fold, respectively. 
 
This work establishes the potential of plasmonic nanoparticles for highly sensitive biosensing and holds much promise for the improvement of biomedical diagnostics.",2022-02-09T11:38:30.920Z
76923811,"{'externalids': {'MAG': '2391155080', 'ACL': None, 'DOI': None, 'PubMedCentral': None, 'ArXiv': None}, 'license': None, 'url': None, 'status': None}","Objective: To find a way of lessening pain and alleviating vessel wound.Methods: Traditional direct puncture and needle withdrawal were applied on odd-numbered days and modified direct puncture and needle withdrawal on even-numbered days by self-control.Results: The response to pain,peri-vessel congestion,bleeding,liquid effusion,damage to vessels were less after withdrawal of needles and the success rate of one puncture was higher using the modified method compared with the traditional method.Conclusions: The puncture was small when using this method and it was quicker,labour-saving,more successful and stable.This method could relieve the pain of patients and reduce complication incidences.",2022-02-11T06:00:23.722Z
76810505,"{'externalids': {'MAG': '2395812723', 'ACL': None, 'DOI': None, 'PubMedCentral': None, 'ArXiv': None}, 'license': None, 'url': None, 'status': None}","Nowadays particular interest of clinicians is attracted by metabolic therapy of patients with chronic heart failure (CHF). The objective of this study was to investigate the influence of complex therapy with addition of Vasonat on the dynamics of remodeling indexes of left ventricle and functional class of CHF on classification of NYHA. It has been shown that application of metabolic modulator Vasonat in addition to conventional therapy of CHF facilitated the clinical improvement and significant decline of functional class. Vasonat use resulted in the meaningful improvement of the contractive function of myocardium and increase of tolerance to the physical exercise. Moreover, high efficiency of Vasonat has been demonstrated in the control of the syndrome of oxidizing stress, by decrease in intensity of free-radical processes and activation of the antioxidant defense system.",2022-02-11T06:02:45.154Z
70811915,"{'externalids': {'MAG': '1727162163', 'ACL': None, 'DOI': None, 'PubMedCentral': None, 'ArXiv': None}, 'license': None, 'url': None, 'status': None}","New and cutting edge technologies are proving useful for clinical diagnosis and early detection of melanoma. Depending on the diagnostic tool used, clinicians can improve their assessment of suspicious lesions and better evaluate the fine nuances differentiating benign and malignant pigmented lesions.",2022-02-11T11:14:34.504Z
60066108,"{'externalids': {'MAG': '205758967', 'ACL': None, 'DOI': None, 'PubMedCentral': None, 'ArXiv': None}, 'license': None, 'url': None, 'status': None}","The next generation of intelligent networks will provide information processing, retrieval and transfer services for the user in a transparent way, including intelligence aspects of handling imprecise and inconsistent information as well. The processing nodes of the network may use various information processing models. Moreover, the structure of the network is dynamically changing because of failures and modifications. A dynamically varying mixture of static and dynamic task allocation may be used over inhomogeneous or homogeneous resource types. Such a system cannot be handled by the classical models. In the generic model proposed four basic information processing models are defined: control, data, demand and information driven models and the network may use any combination of them. A knowledge based generic model is presented for such a system, having logical, temporal and topological structures together with operations on these structures. A universal relational scheme of parameterized sets of objects of arbitrary and possibly varying types is introduced, taking also variables and topological structures into account, to represent precise and vague knowledge. By operations applied to the scheme further knowledge can be deduced and by functional queries facts can be interrogated. As illustrative examples applications to databases, pattern recognition and logical deduction are considered. Your paper should be in the same format as this file.",2022-02-11T15:54:16.031Z
57289992,"{'externalids': {'MAG': '2740642122', 'ACL': None, 'DOI': None, 'PubMedCentral': None, 'ArXiv': None}, 'license': None, 'url': None, 'status': None}",As compared with the most fertile human group the Hutterites ( A North American Religious sect) the rural Thai women are 74% as prolific and therefore are in great need of family planning. There is a 2 - year campaign in Thailand for this purpose with pilot projects being carried out in some provinces of Northeastern Thailand. The government is taking such measures as making rural services mandatory to doctors to remedy the shortage of doctors. New maternal and child centers are being built. Health personnel are provided with motorcycles in order to help with the transportation problem. Also extensive educational campaigns are being carried out.,2022-02-11T18:03:53.859Z
198512618,"{'externalids': {'MAG': '2954477183', 'ACL': None, 'DOI': None, 'PubMedCentral': None, 'ArXiv': None}, 'license': None, 'url': None, 'status': None}","En esta produccion abordaremos la propuesta formativa que realizamos un equipo de docentes en el Seminario Procesos Comunitarios e Intervenciones Pedagogicas, de la Escuela de Ciencias de la Educacion (FFyH, UNC). Nos proponemos relatar lo realizado en una Practica Sociocomunitaria (PSC), durante el periodo 2015 – 2017, y reflexionar sobre la experiencia transitada.En primer lugar, pretendemos caracterizar brevemente la propuesta del Seminario desde la implementacion de las PSC. Luego nos interesa reflexionar sobre aspectos significativos de la practica, abordando las tensiones que transitamos y destacando el proceso realizado por las y los estudiantes. En este aspecto, relatamos los desafios que implico la construccion de las relaciones y vinculos con la organizacion comunitaria para desarrollar la PSC.A continuacion, compartimos las tensiones entre el tiempo de cursado, la construccion de la propuesta y la produccion de un saber para otros y otras. A su vez, se recuperan, los intercambios y aportes generados por las y los estudiantes con la organizacion comunitaria, con la intencionalidad de fortalecer su propuesta formativa.Por ultimo, se dara cuenta de las contribuciones de esta practica extensionista a la formacion de las y los estudiantes en el vinculo con actores extra – universitarios.",2022-02-08T06:09:35.096Z
192866386,"{'externalids': {'MAG': '2476889396', 'ACL': None, 'DOI': None, 'PubMedCentral': None, 'ArXiv': None}, 'license': None, 'url': None, 'status': None}","L'A. se propose d'examiner la pertinence d'une caracteristique, partielle, qu'on est tente d'attribuer au style de Jouhandeau, sous l'etiquette de style naturel, en prenant pour point d'application certains jeux de formes (ordre des mots) qui corroborent ou dementent cette caracterisation",2022-02-08T08:39:15.874Z
183494471,"{'externalids': {'MAG': '2391174351', 'ACL': None, 'DOI': None, 'PubMedCentral': None, 'ArXiv': None}, 'license': None, 'url': None, 'status': None}","Objective: To investigate the ranges of reference values of GGT in urine by determining active GGT in urine of 1 118 healthy people. Methods: The active GGt in urine was measured by a continuous monitoring with γ glutamyle 3 carboxy 4 nirroanilide (GCNA) as substrate, which was recommended by International Federation of Chemistry Committee (IFFC). The results were processed and analysed by Statistical Package for Social Science (SPSS). Results: The reference value of GGT of general in urine was 0 to 61.42 u/L, that of men and women in urine were 0 to 62.08 u/L and 0 to 60.87 u/L respectively. Conclusion: The method that active GGT was determined with GCNA as substrate by a continuous monitoring was simple, convenient, high speeded, and practicable, and could be used in the clinical routine test. There was almost no difference between men and women on the GGT value in urine.",2022-02-08T12:20:55.496Z
188947504,"{'externalids': {'MAG': '2903014118', 'ACL': None, 'DOI': None, 'PubMedCentral': None, 'ArXiv': None}, 'license': None, 'url': None, 'status': None}"," Während 58 Prozent der Exportbetriebe im Zeitraum von 2000 bis 2014 die Kosten für betriebliche Weiterbildung ganz oder teilweise übernahmen und/oder die betreffenden Mitarbeiter dafür freistellten, taten dies 34 Prozent der nicht exportierenden Betriebe des Verarbeitenden Gewerbes. Auch wenn man Betriebe gleicher Größe vergleicht, so engagierten sich Exportbetriebe häufiger in der Weiterbildung.",2022-02-08T10:03:32.313Z
169807770,"{'externalids': {'MAG': '37326337', 'ACL': None, 'DOI': None, 'PubMedCentral': None, 'ArXiv': None}, 'license': None, 'url': None, 'status': None}","En el presente trabajo se estudia el flujo turbulento cargado con particulas solidas a traves de un canal. Para ello se utiliza un programa comercial de dinamica de fluidos tomputacional, cuyo esquema de discretizacion es el de volumenes Guitas. La fase fluida (aue) se estudia mediante un enfoque Euleriano y la fase dispersa (particulas solidas) mediante un enfoque Lagrangiano, respecto al acoplamiento hidrodinamico entre las fases, solo se considera la accion de la fase fluida sobre la fase dispersa (one-way coupling) para una concentracion masica determinada. Se desarrolla un estudio de convergencia de malla y los resultados numericos se comparan con datos experimentales.",2022-02-08T17:40:52.222Z
