paperID,reviewerID,grade,review
156892454,2189798369,1,The research was informative.
156892454,71165787,1,The paper was interesting.
178654921,97314877,3,The analysis was well-written.
178654921,2033250906,1,The research was well-written.
201850701,2076151077,2,The analysis was insightful.
201850701,2182481136,4,The study was informative.
201850701,1446759820,4,The manuscript was well-written.
118679332,148839012,5,The research was interesting.
118679332,96819751,3,The research was insightful.
118679332,2079255390,5,The paper was insightful.
152222401,2094440029,4,The manuscript was thorough.
68477016,1456877617,2,The paper was interesting.
68477016,102888698,3,The paper was informative.
192908649,2082609384,5,The manuscript was interesting.
159318811,2053860743,3,The analysis was insightful.
151087503,2081025969,1,The research was innovative.
173613127,2126607527,1,The paper was insightful.
173613127,2189798369,2,The analysis was well-written.
224407029,121694342,5,The research was innovative.
172111010,40197209,3,The paper was innovative.
232544331,115296882,5,The research was interesting.
232544331,46971232,4,The analysis was well-written.
232544331,2112894234,3,The study was insightful.
228456837,119336063,1,The paper was informative.
76242106,2197104635,1,The study was interesting.
172058121,2193666739,2,The research was interesting.
172058121,108219122,2,The manuscript was well-written.
172058121,1450198846,3,The study was innovative.
218510896,2074194496,1,The manuscript was informative.
218510896,1661088374,2,The research was insightful.
218510896,2114231020,2,The analysis was interesting.
218752693,66483450,4,The paper was interesting.
218752693,2074194496,4,The study was thorough.
234094375,2105340960,1,The paper was innovative.
234094375,2056345775,2,The research was well-written.
201039868,2053860743,1,The research was insightful.
201039868,1450198846,4,The analysis was insightful.
201039868,148839012,1,The paper was innovative.
116969730,2082990264,3,The research was interesting.
212514582,2097271781,1,The research was interesting.
212514582,145927576,1,The manuscript was thorough.
241187165,71381615,5,The manuscript was informative.
218372563,145927576,4,The research was innovative.
218372563,37338738,2,The manuscript was interesting.
137584809,2105340960,1,The research was informative.
114583152,102888698,3,The analysis was interesting.
114583152,2094440029,2,The analysis was interesting.
114583152,1449277002,3,The manuscript was interesting.
201228884,1683442640,2,The paper was interesting.
201228884,2079255390,3,The study was well-written.
201228884,2109645568,3,The paper was insightful.
211999293,1446759820,2,The study was innovative.
236084343,2082590925,2,The analysis was thorough.
236084343,1435789421,2,The manuscript was thorough.
236084343,116436254,2,The paper was innovative.
228057707,2179292879,1,The research was informative.
228057707,119336063,2,The analysis was well-written.
223223731,116436254,5,The study was thorough.
222445728,102014363,4,The paper was insightful.
222445728,119336063,2,The analysis was well-written.
222445728,2128348145,5,The study was innovative.
216771883,2076170896,5,The analysis was insightful.
222201264,2104226553,3,The paper was interesting.
222201264,114158330,3,The paper was interesting.
222201264,2126607527,5,The research was informative.
218116915,2033250906,4,The research was insightful.
218116915,2139338308,3,The analysis was interesting.
218116915,2126607527,4,The study was innovative.
204598423,120028252,4,The paper was insightful.
204598423,108219122,1,The manuscript was thorough.
203322470,2082990264,5,The paper was interesting.
203322470,2170326832,1,The paper was interesting.
203322470,2139338308,1,The paper was informative.
201974822,2094440029,2,The analysis was well-written.
201974822,37338738,4,The study was well-written.
196164276,2197104635,4,The analysis was informative.
196112437,2076170896,4,The study was well-written.
196112437,2193666739,1,The study was innovative.
196112437,2082590925,4,The research was well-written.
194780130,1449277002,2,The paper was interesting.
199282780,2094440029,2,The research was well-written.
199282780,46971232,3,The analysis was insightful.
199349426,102014363,1,The study was interesting.
199349426,1446759820,1,The study was innovative.
199217217,1449277002,1,The manuscript was interesting.
199217217,48656069,4,The research was interesting.
199217217,2179292879,5,The paper was innovative.
198755652,1435789421,3,The analysis was interesting.
198755652,118835871,5,The manuscript was interesting.
198755652,96819751,5,The research was innovative.
197965946,100855131,3,The research was innovative.
197965946,2179292879,5,The analysis was thorough.
195010030,40197209,4,The paper was well-written.
234007880,17033989,3,The analysis was insightful.
234007880,2105340960,1,The paper was interesting.
232934559,2094440029,4,The manuscript was well-written.
232934559,40197209,4,The analysis was insightful.
232934559,2094888131,2,The analysis was well-written.
231108047,37338738,1,The study was informative.
231108047,115296882,2,The manuscript was well-written.
224350738,116133421,4,The analysis was insightful.
224350738,2179292879,5,The research was interesting.
224350738,2130107590,4,The analysis was thorough.
212007178,98300763,5,The research was innovative.
207850137,2056345775,1,The analysis was interesting.
207850137,145927576,2,The analysis was interesting.
117468083,102888698,2,The study was informative.
117468083,1557299521,4,The analysis was thorough.
117108087,2112894234,2,The paper was thorough.
117108087,104845279,2,The research was innovative.
113894244,151447626,3,The paper was innovative.
113202733,49230989,3,The analysis was informative.
113202733,116323493,2,The manuscript was interesting.
112593522,13298326,2,The paper was interesting.
112800869,1456877617,1,The analysis was interesting.
112800869,114706089,3,The paper was insightful.
112286665,116323493,2,The research was well-written.
111231513,1683442640,4,The study was innovative.
111088085,2079005478,2,The analysis was thorough.
111088085,1683442640,1,The research was well-written.
111088085,2091014731,5,The research was informative.
110887031,2082609384,3,The paper was insightful.
110887031,1483980454,5,The manuscript was thorough.
110887031,115296882,4,The manuscript was interesting.
118878312,2094440029,1,The research was interesting.
118878312,2126607527,5,The research was innovative.
118878312,145927576,3,The paper was innovative.
119002715,2082990264,1,The paper was innovative.
119002715,151447626,4,The analysis was informative.
115514548,1449277002,5,The analysis was innovative.
115514548,2082590925,5,The manuscript was thorough.
107886285,46971232,1,The research was innovative.
107886285,102014363,3,The study was innovative.
107886285,1483980454,3,The research was informative.
107737299,118835871,3,The manuscript was informative.
107737299,2182481136,3,The manuscript was insightful.
106761490,104845279,1,The research was innovative.
106761490,2076151077,2,The manuscript was interesting.
90222727,2182481136,4,The paper was well-written.
