,corpusid,model,text
11,16102,tldr@v2.0.0,"The search for a barley with a higher lipid content was concentrated on the USDA Barley World Conllection, and seven selections had lipid contents which ranged from 9–35% higher than Prilar."
12,17230,tldr@v2.0.0,The mechanism of EPE (30% alcohol content) affecting the onset of tissue reaction and the promotion of carcinogenesis has not been clarified yet.
13,19256,tldr@v2.0.0,"It was found that the silicon content of lymph nodes is significantly higher in miners with diagnosed silicosis than in persons not exposed routinely to silicon dust, and that in the latter the silicon concentration varies with age."
14,19260,tldr@v2.0.0,A trilateral point filtering scheme that adjusts the position of sample points along their normal directions to successfully reduce noise from point-sampled surfaces while preserving geometric features is presented.
15,20677,tldr@v2.0.0,The aim of this interdisciplinary study was to evaluate power Doppler imaging as a method of collecting reliable preoperative data concerning the diameters and topography of exemplary internal mammary vessels as recipient vessels in reconstructive microsurgery.
16,20892,tldr@v2.0.0,The findings suggest that during evolution of the Hemiascomycetes such slightly divergent ancestral motifs have converged into a unique PACE element for the majority of the proteasomal genes within the most recent species of this class.
17,24592,tldr@v2.0.0,It is concluded that upper airway afferents mediate pharyngeal dilator muscle activation in response to negative pressure with GC and that subglottal receptors caused the increased activation with GO.
18,24859,tldr@v2.0.0,"D dopamine antagonizes the constrictor effect of angiotensin II at the glomerular-mesangial level, supporting a role for dopamine in the regulation ofglomerular filtration and may provide a rationale for its use during states of renal, vasoconstriction."
19,25008,tldr@v2.0.0,"It is shown that memory time in the welded code is doubly exponential in inverse temperature via the Peierls argument, which introduces further connections between thermal topological order and self-correction from the viewpoint of free energy and quantum circuit depth."
20,31440,tldr@v2.0.0,"The raison d'être and an approach for building a repository of validating prototypes against key requirements in the incremental specifications, to formalize the specifications in a Requirements Engineering Knowledge Base are examined."
21,32840,tldr@v2.0.0,"It is shown that the p38 MAPK signaling pathway plays an important role in the regulation of granulocytopoiesis, but not of erythropoiesi."
22,32962,tldr@v2.0.0,"The hemoglobin content in the treated samples with AgNPs decreased, which showed its inhibitory effect on angiogenesis, which was confirmed by the data analysis."
23,33830,tldr@v2.0.0,"Okra polymer can be used as a promising biomaterial for controlled drug delivery and demonstrated a controlled release of zolmitriptan over a period of 8h in simulated salivary fluid (SSF) pH 6.8, with the correlation coefficient values indicating its non-Fickian kinetics."
24,34254,tldr@v2.0.0,"The structure of the junction between the 17p and 17q arms, especially the lack of significant homology between the juxtaposed genomic regions and the presence of short microhomology at the junction site, indicated non-homologous end joining as the most likely mechanism leading to the rearrangement."
25,34815,tldr@v2.0.0,"This paper presents a combination of automatic abstraction with the under-approximation-driven framework, and explores two iterative approaches for obtaining and refining abstractions --- proof based and counterexample based --- and shows how they can be combined into a unified algorithm."
26,35665,tldr@v2.0.0,Parallelrechner (im engeren Sinne) kennzeichnen die 3.
27,39658,tldr@v2.0.0,The results suggest that the Nova Scotia population of Blanding's turtle may be important to the maintenance of genetic diversity in the species.
28,41980,tldr@v2.0.0,"The one-electron oxidation of DNA bases and single-stranded DNA was studied and the DNA-guanyl radical is found to be a potent oxidant in neutral media, which indicates that a positive 'hole' may be transferred from DNA to a DNA-associated protein."
29,43339,tldr@v2.0.0,"One of the most hotly contested issues in ecology and conservation biology is about whether, or to what degree, scientists should be involved as advocates in public policy debates."
30,43760,tldr@v2.0.0,"The reported case of a 40-year-old man who suffered from severe depression and committed suicide using a crossbow highlights the sharp contrast between its potential for harm and the easy access to this kind of weapon, even for those affected by mental illness."
31,45698,tldr@v2.0.0,"This study linked regulatory events mechanistically by showing that Plk1 induces proteasomal degradation of SUZ12 and ZNF198 by site-specific phosphorylation, which is involved in epigenetic reprogramming associated broadly with oncogenic transformation."
32,45808,tldr@v2.0.0,"The reviewed results suggest that chronic, but not acute, administration of antidepressants suppress panic attacks by increasing the release of 5-HT and enhancing the responsivity of post-synaptic 5- HT1A and5-HT2A receptors in the DPAG."
33,45859,tldr@v2.0.0,This seminar brought together 28 researchers from North America and Europe engaged in recent and upcoming developments in shape analysis who view these challenges from different perspectives and who together discussed the pressing open problems and novel solutions to them.
34,50875,tldr@v2.0.0,Collateral blood flow partially sustains myocardial oxygenation during coronary artery occlusion and influences tissue reoxygenation early during reperfusion.
35,51323,tldr@v2.0.0, 
36,52401,tldr@v2.0.0,"Both ureas and thioureas derived from L- or D-valine act as bifunctional organocatalysts able to induce the enantioselective alcoholysis of mono-, bi-, and tricyclic meso anhydrides."
37,56061,tldr@v2.0.0,"There is a statistically significant relationship between the presence of missed injuries, high ISS and intubation before or after admission to hospital."
38,56543,tldr@v2.0.0,"It is shown how the modeling framework for controlled dynamical systems leads naturally to a formulation in terms of context-dependent grammars, which is proposed for online generation of the grammar productions and used for modeling, control and anomaly detection."
39,60436,tldr@v2.0.0,The development of acute rejection and coronary artery disease (CAD) was studied in 173 patients who survived at least 1 year after orthotopic heart transplantation and is correlated with rejection episodes and diabetes mellitus.
40,61943,tldr@v2.0.0,"Functional magnetic resonance imaging and a single set of auditory stimuli suggest that, during auditory working memory, maintenance of spatial and nonspatial information modulates activity preferentially in a dorsal and a ventral auditory pathway, respectively."
41,63732,tldr@v2.0.0,The finding of carcinogenicity across a wide range of occupations complements prior studies of specific high-exposure occupations and suggests that the burden of cancer induced by silica may be much greater than previously thought.
42,63917,tldr@v2.0.0,"It is important to remember, that people including neurosurgeons, who learn only from errors, do rarely anything right, so the trial and error principle is only the second best learning algorithm."
43,64459,tldr@v2.0.0,"First-grade children were given three training trials on a simple guessing task and then extinguished, and the pattern of reward which Ss expected significantly affected their resistance to extinction and the extent to which their expectations were discontinued did not have a significant effect."
44,65945,tldr@v2.0.0,A Lazy DVS scheduling algorithm is presented that offers higher acceptance ratio with equivalent orlesser energy consumption for battery powered dynamic real time system and can effectively improve the acceptance ratio while consuming lower energy.
45,65964,tldr@v2.0.0,CDI incidence is increasing nationally among cancer patients admitted to U.S. community hospitals and was associated with significantly increased mortality and hospital LOS.
46,66475,tldr@v2.0.0,"To illustrate the magnitude of the impact an individual reviewer has and the difference in contribution between the best and the worst reviewer, data from a number of empirical inspection experiments is analysed."
47,66526,tldr@v2.0.0,"This paper presents a novel and computationally fast method for automatic identification of symmetry profile from 3D facial images, based on the concepts of computational geometry which yield fast and accurate results."
48,68723,tldr@v2.0.0,"Smoking, male sex, committing offences, and older age were the most significant factors connected with the risk-taking behaviors for HIV transmission among the students."
49,70332,tldr@v2.0.0,"The present investigation was conducted to determine if this morphological alteration might be accompanied by changes in surface membranes, and demonstrated that the surface of both immature and mature oocytes possessed different specific antigens."
50,70765,tldr@v2.0.0,"A model explaining the morphogenesis of the gut is presented, showing firstly, that radial intercalation occurs in the gut transforming a short thick tube into a long thin tube; secondly, that the archenteron lining does not become the definitive gut lumen."
51,71683,tldr@v2.0.0,The unique redox property of oxygen-enriched polyoxotungstate fragments and Lewis acidity of the Zr cluster imbedded in Na10K22·1·85H2O provide a sufficient driving force for the catalytic conversion from thioethers to sulfoxides/sulfones.
52,71855,tldr@v2.0.0,It is concluded that the major determinant of the turbulence responsible for the creation of the Austin Flint murmur is the antegrade mitral flow stream and its mixing with the retrograde aortic flow.
53,72920,tldr@v2.0.0,An efficient method for computing PageRank score -- a Google ranking method based on analyzing the link structure of the Web on graphics processing units (GPUs) based on a slightly modification of a storage data format called binary 'link structure file' which inspirited from [2].
54,73294,tldr@v2.0.0,"The overall results suggest that the C. elegans mutant assay seems to be a promising tool for the study of toxic mechanisms, as well as for toxicity screening in ecotoxicological research."
55,73500,tldr@v2.0.0,A novel intelligent haptic guidance scheme for steering a number of magnetic nanoparticles (MNPs) using forbidden region virtual fixtures and a haptic rendering scheme with multi particles and it is found that the efficiency of targeting was significantly improved using the Forbidden region virtual fixture and the proposed haptic render of MNPs.
56,74457,tldr@v2.0.0,"The experience gained from the design and verification of a complex network processor, which can operate in either ATM or IP based multiprotocol networking environments, and the methodology followed during the verification process."
57,74770,tldr@v2.0.0,"Alteplase significantly attenuated infarct growth when using coregistration techniques to determine the presence of mismatch at study entry, highlighting the necessity for a randomized, placebo-controlled, phase III clinical trial of alteplases using penumbral selection beyond 3 hours."
58,74793,tldr@v2.0.0,An Integrated Memory Partitioning and Activity Conscious Twin-index (IMPACT) framework where the moving object database is indexed by a pair of indexes based on the properties of the objects' movement – a main-memory structure manages active objects while a disk-based index handles inactive objects.
59,75447,tldr@v2.0.0,An increased difficulty to discriminate the difference among durations rather than an increase in estimated time as main effect of delayed reinforcement is suggested.
60,76610,tldr@v2.0.0,The Converged Security Visualization Tool (Cover-VT) is proposed to solve the efficient visualization problem and was developed as an effective security visualization system that integrates existing security tools and network security systems.
61,77479,tldr@v2.0.0,"Evidence from three RENEWAL research studies and one policy review on the interactions between AIDS and agriculture in Zambia are summarized, highlighting the particular importance of engaging communities proactively in the response to HIV and AIDS to ensure relevance, sustainability, and scale."
62,77671,tldr@v2.0.0,It is shown that a qualitative planning of collaboration intensities can support business cases by proving both knowledge and planning data in the Collaborative Network Relationship Analysis (CNRA).
63,80226,tldr@v2.0.0,"A 48-yr-old woman presented with a loud continuous precordial murmur and symptoms of fatigue, and two detachable balloons were deployed in the fistula with complete abolition of flow in the main fistula channel."
64,80418,tldr@v2.0.0,This work is the first to both develop a domain adaptation algorithm for the coreference resolution problem and have the above features as an ensemble method.
65,82970,tldr@v2.0.0,"These studies implicate the Duffy antigen/chemokine receptor in the complex interactions between postcapillary endothelial cells and granulocytes, which are modulated by pro-inflammatory chemokines."
66,85046,tldr@v2.0.0,"Although the strains were found to be genetically unrelated, most of the cases were hospital-acquired or healthcare-associated, underlining the need for infection control measures to limit the spread of ESBL-producing E. coli in hospital settings."
67,85538,tldr@v2.0.0,"Researchers should not only consider glycemia palliation, but also modulate hyperactivation of the immune system by metabolic stress with proof-of-concept studies into TNF antagonism, inhibitor of nuclear factor-kappa B kinase β/nuclear factor- kappa B inhibition, IL-1 receptor blockade and IL- 1β antagonism."
68,86686,tldr@v2.0.0,This study strongly supports the use of telemedicine to connect home-care nurses to a team of wound experts in order to improve the management of chronic wounds.
69,86967,tldr@v2.0.0,"This review summarizes the current knowledge on mechanisms which potentially lead to the establishment of a DNA hypermethylome in cancer cells and suggests further layers of gene regulation are critical coordinators of DNMT expression, catalytic activity and target specificity."
70,88325,tldr@v2.0.0,"This study studied how tweeting, or passively observing Twitter during a debate, influenced affect, recall and vote decision, and found that people who actively tweeted changed their voting choice to reflect the majority sentiment on Twitter."
71,90655,tldr@v2.0.0,"A fully functional prototype system that consists of digitally-encoded signs widely distributed throughout a building, a handheld sign-reader based on an infrared camera, image-processing software, and a talking digital map running on a mobile device demonstrates the feasibility of technology enabling independent indoor navigation by people with visual impairment."
72,90700,tldr@v2.0.0,"It is demonstrated that there is a class of algorithms that, by taking advantage of local reward signals in large distributed Markov Decision Processes, are able to ensure good performance with a number of samples that scales as O(log n), which makes them applicable even in settings with a very large number of agents."
73,93630,tldr@v2.0.0,"Systemic enzyme therapy before and after exhaustive eccentric exercise resulted in higher maximal concentric strength in the less strength-trained subjects (stage I) and in significant favourable effects on biomarkers (inflammatory, metabolic and immune) in all subjects."
74,93993,tldr@v2.0.0,"The multidisciplinary team agreed on a number of recommendations that arose from a review of existing evidence, including when to treat complicated IH; contraindications and pretreatment evaluation protocols; propranolol use in PHACE syndrome; formulation, target dose, and frequency of proPRanolol; initiation of propr ethanol in infants; cardiovascular monitoring; ongoing monitoring; and prevention of hypoglycemia."
75,94040,tldr@v2.0.0,"Although proximity filtering is only marginally effective for enhancing the precision of relations extracted with co-occurrence processing, it is likely to benefit methods based, even partially, on syntactic structure, regardless of the relation."
76,95409,tldr@v2.0.0,"A significant number of genes up-regulated in id1 mutant immature leaves have potential roles in photosynthesis and carbon fixation, substantiating a possible connection between floral induction and assimilate partitioning."
77,95690,tldr@v2.0.0,"Two procedures for evaluating the potency of diploid-cell rabies vaccine (WRV) were compared by mouse-serum neutralization and RFFIT serological determinations, using NIH Reference Rabies Vaccine No. 182 as base."
78,97555,tldr@v2.0.0,"The modest associations between cannabis involvement and SNPs for tobacco smoking were not independent of the comorbidity between tobacco and cannabis involvement, and larger samples of individuals might be required to articulate the specific genetic architecture of cannabis involvement."
79,97754,tldr@v2.0.0,"The parallel iteration procedure for computing scattering by a multilayer sphere uses a successive doubling strategy applied to four sets of multiple-scattering amplitudes, which is reminiscent of the fast Fourier transform (FFT) algorithm."
80,99539,tldr@v2.0.0,The comparison of the data obtained confirms the hypothesis about the correlation of taxonomic position of flagellates and the structure of their extrusomes that allows in some cases using these features as phylogenetic markers.
81,100669,tldr@v2.0.0,"Electrophoresis of the selectively amplified-restricted apolipoprotein-CIII DNA on agarose gel provides a rapid diagnostic test that allows identification of the subjects with this allele in less than a day, and a mechanism of action for the allele is suggested."
82,100708,tldr@v2.0.0,"The unexpected observation of putative post-duplication positive selection of teleost DMBx1 genes, especially dmbx1a, and the differences in functionality between the mouse and zebrafish genes suggests that theteleost DmbX1 genes may have evolved a diverged function in the regulation of neurogenesis."
83,100990,tldr@v2.0.0,"This report summarizes 15 years of observations and research in four categories: Gulf War veteran healthcare registry studies, hospitalization studies, outpatient studies and mortality studies, and concludes that it now seems time to cease examining Gulf War Veteran morbidity and to direct future research efforts to preventing illness among current and future military personnel."
84,101402,tldr@v2.0.0,The study shows that the systemic effects of protein-deficient diets during early life shapes the behavioural phenotype in R. d.
85,102854,tldr@v2.0.0,"A preliminary model is proposed that is called the crescendo effect, which describes the interrelationship between moral distress and moral residue, which is intended to spark debate, encourage further study, and provide additional insight for ethics consultants as they analyze clinical situations."
86,103406,tldr@v2.0.0,"The development of powerful genetic manipulation formats has revolutionized the creation of functional biological molecules, but the benefits of such multiple changes are often not predictable from a priori structural knowledge."
87,104946,tldr@v2.0.0,"The results suggest that DON and other 8-ketotrichothecenes have the potential to both directly induce and superinduce proinflammatory cytokine and chemokine expression in human macrophages, even at toxin concentrations that are cytotoxic."
88,109837,tldr@v2.0.0,This paper proposes a bandwidth feedback algorithm together with a rate control and virtual user path prediction to better adapt the system to the changing bandwidth and shows an extensive set of simulations in order to evaluate the performance of the solutions.
89,110873,tldr@v2.0.0,"This paper presents an overview of EXODUS, an extensible database system project that is addressing data management problems posed by a variety of challenging new applications and provides an architectural framework for building application-specific database systems."
90,111316,tldr@v2.0.0,Passive smoking is associated with a significantly increased risk of type 2 diabetes and further well-designed studies are warranted to confirm this association.
91,111779,tldr@v2.0.0,This paper uses a natural extension of the Wardrop principle in order to obtain results on selfish routing with side constraints and suggests that in equilibrium flow is routed along paths of minimal latency according to a modified function that essentially incorporates penalty terms for the side constraints.
92,114833,tldr@v2.0.0,"The changes in AMP, cyclicAMP, and citrate content of the mammary gland during lactation are such as to promote an increase in fructose 2,6-bisphosphate formation and flux through phosphofructokinase."
93,114878,tldr@v2.0.0,"Personal Communication Services is one of the key Commercial-Off-TheShelf (COTS) technologies being integrated into the Army's digitized battlefield and promises to deliver advanced services such as voice-mail, short e-mail messages, paging and caller ID."
94,115261,tldr@v2.0.0,"Ventilation and intubation in lateral position was more difficult technically than in the suprine position, and the BP response was exaggerated in the lateral position."
95,117073,tldr@v2.0.0,"The results revealed that brain regions comprising the putative reward circuitry showed a linear increase in activation with increased judgments of attractiveness, however, further analysis also revealed sex differences in the recruitment of OFC, which distinguished attractive and unattractive faces only for male participants."
96,117487,tldr@v2.0.0,"They sound dull, but data-management plans are essential, and funders must explain why."
97,120298,tldr@v2.0.0,"The path analysis explores the relationship between these alternative strategies and indicates the association between expenditure on the Hospital Service, Staffing Levels and Discharge Rate in a precise manner."
98,121475,tldr@v2.0.0,The electron-laser interaction at near-reflection conditions when pronounced high-energy gamma-ray bursts arise in the backward-emission direction with respect to the initial motion of the electrons is considered.
99,121871,tldr@v2.0.0,"Since phytoestrogens are structurally very similar to the estrogen 17beta-estradiol, they may exhibit selective estrogen receptor modulating activities, and special attention will be given to the hormonal effects of various isoflavonoids, including genistein, daidzein, coumestrol and equol, several prenylated flavonoid, especially 8-prenylnaringenin, and the stilbene resveratrol."
